"Date","Price","Open","High","Low","Vol.","Change %"
"03/31/2022","98.52","105.30","105.64","97.88","185.64K","-6.78%"
"03/30/2022","105.68","103.04","106.44","102.41","83.36K","3.56%"
"03/29/2022","102.05","101.29","105.45","96.52","119.63K","-1.32%"
"03/28/2022","103.42","110.22","110.22","100.43","125.75K","-6.88%"
"03/25/2022","111.06","108.29","111.26","105.86","103.66K","1.49%"
"03/24/2022","109.43","111.41","113.51","107.79","106.02K","-2.29%"
"03/23/2022","111.99","105.84","112.34","105.69","120.34K","2.49%"
"03/22/2022","109.27","110.91","113.35","107.10","318.63K","-0.64%"
"03/21/2022","109.97","103.62","111.08","102.47","279.31K","6.67%"
"03/18/2022","103.09","102.23","104.67","100.96","207.44K","1.42%"
"03/17/2022","101.65","94.08","102.69","93.41","221.54K","8.61%"
"03/16/2022","93.59","93.70","97.93","92.68","163.42K","-1.27%"
"03/15/2022","94.79","100.55","100.92","92.20","205.70K","-6.32%"
"03/14/2022","101.18","106.64","106.65","97.89","162.18K","-4.82%"
"03/11/2022","106.30","103.00","107.17","101.27","166.35K","3.21%"
"03/10/2022","102.99","106.59","110.91","102.38","203.84K","-1.96%"
"03/09/2022","105.05","120.66","122.73","99.55","249.98K","-12.20%"
"03/08/2022","119.65","116.98","124.98","113.66","200.16K","3.32%"
"03/07/2022","115.80","116.03","126.42","111.87","202.56K","3.29%"
"03/04/2022","112.11","105.04","112.54","104.36","167.99K","7.17%"
"03/03/2022","104.61","107.27","112.65","103.14","190.66K","-2.29%"
"03/02/2022","107.06","103.43","108.91","101.86","219.17K","6.84%"
"03/01/2022","100.21","93.88","103.06","93.21","285.55K","7.18%"
"02/28/2022","93.50","92.97","96.92","92.42","176.43K","4.02%"
"02/25/2022","89.89","91.48","93.73","88.49","160.46K","-1.15%"
"02/24/2022","90.94","91.08","98.44","89.65","289.12K","0.28%"
"02/23/2022","90.69","90.31","92.36","89.34","150.13K","-1.33%"
"02/22/2022","91.91","91.32","94.95","89.06","789.04K","-0.80%"
"02/21/2022","92.65","91.62","93.91","89.08","","1.12%"
"02/20/2022","91.62","91.22","91.74","91.08","","1.56%"
"02/18/2022","90.21","90.06","91.07","87.46","566.36K","0.19%"
"02/17/2022","90.04","89.25","91.51","88.83","442.04K","-1.95%"
"02/16/2022","91.83","90.31","93.07","88.20","351.33K","1.80%"
"02/15/2022","90.21","92.84","93.16","88.94","258.03K","-3.52%"
"02/14/2022","93.50","92.06","93.83","90.45","213.15K","2.28%"
"02/11/2022","91.42","88.56","92.74","87.79","310.81K","3.23%"
